#row 	col 	t0 	t 	deltaT 	thl 	par0 	par1 	par2 	par3
32	0	608.777	646.082	37.3047	16	29.9006	17.6384	0.317022	604.717
32	16	608.918	657.816	48.8984	16	62.287	11.6669	0.601397	607.757
32	32	609.684	657.762	48.0781	20	95.5895	12.3484	0.71974	608.56
32	48	608.504	657.793	49.2891	14	135.885	13.0449	0.875938	608.529
32	64	608.348	651.535	43.1875	12	32.0328	13.7107	0.324304	603.596
32	80	608.348	662.496	54.1484	14	86.6222	7.85201	0.685277	606.758
32	96	608.348	657.785	49.4375	14	33.1028	15.808	0.307132	602.786
32	112	608.348	654.676	46.3281	14	148.613	12.4177	0.911561	607.742
32	128	608.348	654.707	46.3594	16	134.486	7.08997	0.796419	607.049
32	144	608.348	634.816	26.4688	16	50.6891	16.6047	0.485665	605.432
32	160	608.348	648.387	40.0391	16	52.0372	16.7023	0.489219	605.196
32	176	608.348	657.738	49.3906	14	34.3012	15.8143	0.287983	601.979
32	192	608.348	651.238	42.8906	12	36.3577	13.5043	0.367473	603.996
32	208	608.348	656.238	47.8906	14	327.162	0.00464684	1.04938	607.587
32	224	609.504	657.777	48.2734	16	83.8372	11.4653	0.653472	608.006
32	240	609.863	657.809	47.9453	16	116.439	9.3488	0.771087	608.959
48	0	608.871	664.098	55.2266	16	66.7551	9.30215	0.622449	607.886
